ModelInstance: TTC_InputRDG_A.xmi
<timeTaken: 1.6498912 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[27977.335], mutation: OptionalDouble[3039.04], entireMutation: OptionalDouble[47499.699398797595], copy: OptionalDouble[4583.276553106212], matching: OptionalDouble[16368.956650998352]>
<timeTaken: 1.6215625 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[27725.415], mutation: OptionalDouble[3056.3875984649567], entireMutation: OptionalDouble[46063.39178356713], copy: OptionalDouble[4795.951903807615], matching: OptionalDouble[15725.809226583444]>
<timeTaken: 1.62711 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[27624.665], mutation: OptionalDouble[3020.8069660304764], entireMutation: OptionalDouble[47006.82865731463], copy: OptionalDouble[4312.785571142284], matching: OptionalDouble[16029.260225936921]>
<timeTaken: 1.2851398 second(s), bestFitness: -1.6666666666666665, evaluation: OptionalDouble[21788.67], mutation: OptionalDouble[3026.295980328198], entireMutation: OptionalDouble[36089.85470941884], copy: OptionalDouble[3963.8727454909817], matching: OptionalDouble[11707.997275477292]>
<timeTaken: 1.2723824 second(s), bestFitness: -1.6666666666666665, evaluation: OptionalDouble[21322.05], mutation: OptionalDouble[3089.859240199788], entireMutation: OptionalDouble[35970.98196392786], copy: OptionalDouble[3914.8997995991986], matching: OptionalDouble[11713.95474461317]>
<timeTaken: 1.2901334 second(s), bestFitness: -1.6666666666666665, evaluation: OptionalDouble[21423.35], mutation: OptionalDouble[3007.449959150327], entireMutation: OptionalDouble[36453.85771543086], copy: OptionalDouble[4141.197394789579], matching: OptionalDouble[11899.568319443611]>
<timeTaken: 1.6600073 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[27749.03], mutation: OptionalDouble[3299.51676230746], entireMutation: OptionalDouble[47720.26052104208], copy: OptionalDouble[4783.251503006012], matching: OptionalDouble[16280.004401232345]>
<timeTaken: 1.9487803 second(s), bestFitness: -3.0, evaluation: OptionalDouble[31903.37], mutation: OptionalDouble[3234.5386784850925], entireMutation: OptionalDouble[58042.54509018036], copy: OptionalDouble[4766.4879759519035], matching: OptionalDouble[20425.430325402238]>
<timeTaken: 1.2019938 second(s), bestFitness: -0.85, evaluation: OptionalDouble[16326.495], mutation: OptionalDouble[2581.5384615384614], entireMutation: OptionalDouble[36218.72745490982], copy: OptionalDouble[3929.7795591182366], matching: OptionalDouble[8221.970530576109]>
<timeTaken: 1.4021568 second(s), bestFitness: -1.6666666666666665, evaluation: OptionalDouble[22552.13], mutation: OptionalDouble[3804.6407110033833], entireMutation: OptionalDouble[39830.420841683364], copy: OptionalDouble[4901.132264529058], matching: OptionalDouble[12579.326980822356]>
