11101111001111110110010001101010111101111010101010001001101111010111110011010011011111110111001111011011100100010000111000111010110101010111110101000111010110011100111011011101001101111000110110010110111|9319.0, -42.04027892554425|
10001101010001000000000111101000100000010010100000001100100001001000000000111000000101001011000001000000001010100010000000000000000001110100000010000100001100000000000000000000000000010000001100001100010|3438.0, -11.957600859221946|
00100100000011101000000100011010100000100001100000001101010111001100101000001100110000000001000010101000100000100011000000000000000001000011000001000010000100001000000111000000000000000000000010000000100|3605.0, -22.195122109936435|
11101110010011100100100101001010111010100010101010011001011010100111010111101100011110111011110011100011110000100110101000001111100011101101010011101011100101001110110111101000000110001000000111001000010|7717.0, -41.909043831128|
10000110000100001011000000000010000000100000110000101001000110011000001000000000011001110000000110000010010000000000000101100001000001001000000000010101000000000000010001010100000010000101000000001001110|3554.0, -15.260791353645914|
00100110000101101000100001101010100100100010110001101001010110111101011000000111001001111101011010000011100000110110111010000110001001100011100001101000000000000100100111001011000000011001001110010100111|6392.0, -38.04135492031884|
00101100000101000001001000101000100010100010100010001101000110010001010010000001101000101100001010010100010000001010011000101000000001000000000010110010000000100000001010001000000001110000010011000000000|4087.0, -24.610297086022122|
10101100000001110101100000011010101000100000100000001111111110000011100010111100011001111001011010001100010100010100100000010110001101000000000111101110100100000000010010101000011100001000000110000010000|5688.0, -35.976937091291205|
10110100010101000110000111001011111100100000110000011101001111010010010000100110101000101001011011000000000000110000101001000110100001101011100010110011001100011010000010001000010110101010001010100001110|6040.0, -36.37187841791739|
00110101000001100000100001111110110110101000110000001101001010011100010101100110001000101000000110011001010010100101100100000000110000100001100010101011000110100100100011101000000010001001001010010000000|5524.0, -33.19812993371244|
00101000001001110000000100001110000000101000100100001101010010000110011000010110001010010001000000000101110000100010110000000011001001100001010011011010000000001000000110001010000000001100001011000110100|4814.0, -28.79855694262382|
00101001000101110010000000101010010000000010100100001001000000001010000100000011010000100001000000001000000110001000000001000000000101001110001001000110010000101010000001001000010000000100000010001000000|3530.0, -13.603213089296839|
00000100010001110000000101001011110000111010110000001001110110100000111010110100011010101000000110110000010000010100101000000000100011000001010111100000010000100101000010011000000100011010001110010011100|5411.0, -31.921659392253382|
10100000010001010100100101110010100000100010100001101101010000000010001000000000110000010010000001000000001001100100000001001010000111100011000011100110000000000001010010011000000100100010100100101000001|4413.0, -25.50205215983476|
10110100000000000100000000101010110000100110101000001101010110000010001000000000011000011101000011000100000010000000011010000000001001001010000011110011110000000100000101001000011001000000101100000000010|4259.0, -24.915503295061296|
11101100010011110010110101001010101010100010100010011111011110110010011001111000001011111001011111010000110001000010100100000111101001111001000011001010100100010010101010101100100111011011010100001000011|7389.0, -40.1288617902487|
00101100000101110111100101011010101110110001100000010111111110110100010000111101011000111001110111011000111110000000101110110001100011110101000011100111100010000010010010111000010011001100101011011010111|7587.0, -41.14107571834489|
01110100001111010010110111001110101010111010110000011001110111100010101011010011011000011111110110000100100100101100100000100111100001110001110010101110000100100010000111011100000111001100100111011100010|7450.0, -40.82852656020777|
10111100110001110010111101101110100010110010110100011011000111110110111110101011001010001101011110110011111001001001111111110000110111000001100101100111000111111010010010101000101011011000011010010100111|8542.0, -41.932556641875266|
00110000000001100100000000010000001000000010000000100001011011000100010101000100100100000000101001011000000010000100001000000010100000100100010110000000001010000000000010000000101000010001100000100001000|3249.0, -8.512954918356009|
00111100010101000010100000101000000100100000110100001011001110000000000001001000111000110000000111001001110000010000000010001000001001000101000000000000100010000000101011000000000001010000000000011001001|3972.0, -22.889189977681372|
00100100000101101100110001001010100100111010100000001101101110110110111010000110001000011001010110110010100000001101101010001110100001101011010001100011001110101110100110101000010010111010111010010110000|6979.0, -39.607431325453206|
00111110000101001100010101001010100001110110111001001011001100010110000000100110101000001101001111100011010010010000101000000010010001100001001000101010011100010000001010111000001000001010100000001000000|5652.0, -34.56866262496276|
00100010000101101000000000001010100001000000100100011000011000100000000110100110000110001000000001000000100001010100000101000000000000110100000000000000100110001001000010010001001000000000000000001100000|3372.0, -10.78913391301656|
00101101000111000001000110001111100000100110111001001001011000010010000011100000100000001001001011100100110010110000000000000010000001000001001000100110010100100000100010101000100000000010000100010000111|4862.0, -29.90368464632298|
00110100001001110010000001001010000000100000110000011101010110010100101000000010101000111000110011000100110000001001111000000000001000000000100011100110001011000010011010000101000110001100000001011011010|5192.0, -31.017921300636935|
10100100110001110001000001101000101000101000110110010001000110000000001000110000011010001000110111000000000100000000100000000010100000000000010111100000101000000101000111011000000000011100100010000000010|4433.0, -25.750986163649642|
00111110000101001000010100001111100001110110111001001001011100110010000110100110001000001101001111100011010010110000100000000010000001000001001000100110011110000000001010111000000000001010000000000000000|5441.0, -33.00365063381488|
00100101100101110100100100001000100110110110100001001001101100000110010000000000101111010001000110010100000001000010101000100011001001100010010101100110000000001000000011011011000001001000001010010001001|5345.0, -31.727318626634144|
00100100111001101000110001001011110000110000110000001001100100100011010000000010001000110000010110010010100000000000000100000011010010010000000001111010000000000010000011101000100010000100000011000001001|4620.0, -26.60680597586748|
11100001000000100000000101101011100000100100110100000001010000000100001001001010001010101001000110010000000010010000101010000000100000011011110011100000000000000011010010001000100110011000010010010011011|4686.0, -27.54072846636755|
10110100011001100010010110101110110100100010100001001001010100000011010011110100011110010111010110101110011100000000101100000010101001001000001011000110010110001111010110101010101100101100001000110000100|6885.0, -38.301238969700215|
00100101110011100000000100001011100000100010100100111001000111100010001010100000011100111001111111000001110011101000100000001010111001110011100101111011000110111110010011101100001000001000011110110000000|6806.0, -38.19136569808738|
